epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,11897.1,0.9283,0.54849,1.05015,0.89208,0.85606,0.90693,0.61124,1.10032,0.57376,1.1588,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12038.2,0.92334,0.54529,1.04738,0.89295,0.85567,0.9072,0.6115,1.10015,0.5737,1.15883,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12179.7,0.92159,0.54236,1.04836,0.89397,0.85536,0.90719,0.61183,1.10034,0.57348,1.15901,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12321.1,0.91925,0.54108,1.04556,0.89463,0.85418,0.90715,0.61182,1.10033,0.57349,1.15923,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12462.8,0.91638,0.53849,1.04309,0.89368,0.85406,0.90713,0.61191,1.10049,0.57356,1.15926,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12604.2,0.91294,0.53792,1.0434,0.89379,0.85329,0.90701,0.61213,1.10067,0.57341,1.15945,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12745.6,0.91037,0.53565,1.04328,0.89438,0.85288,0.90669,0.61209,1.10054,0.5736,1.15943,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,12885.5,0.90235,0.48418,1.04014,0.89595,0.85301,0.90697,0.61253,1.10078,0.57347,1.15972,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13023.4,0.88826,0.47357,1.03291,0.89651,0.8524,0.90691,0.61267,1.10075,0.57331,1.15974,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13161.5,0.88278,0.46968,1.02849,0.89645,0.85146,0.90689,0.61249,1.10082,0.57293,1.15984,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13300,0.87732,0.46542,1.02493,0.89651,0.85172,0.90671,0.6126,1.10092,0.57301,1.15972,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13437.6,0.87205,0.46236,1.02378,0.89841,0.85029,0.90661,0.61257,1.10036,0.57289,1.15956,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13576.3,0.86706,0.45919,1.02014,0.89839,0.85055,0.90666,0.61301,1.10044,0.57266,1.15984,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,13714.3,0.86189,0.45469,1.0171,0.89867,0.85039,0.90656,0.6131,1.10037,0.57289,1.15998,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,13853.4,0.86045,0.45322,1.01618,0.89861,0.85037,0.90648,0.61277,1.1003,0.57274,1.16004,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,13991,0.85546,0.45007,1.01246,0.89864,0.85106,0.90635,0.61306,1.10014,0.57279,1.16019,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14129.7,0.85067,0.44656,1.0105,0.89938,0.84977,0.90683,0.61334,1.10011,0.57277,1.16049,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
